mouse_110_WT_C	mouse_110_WT_NC	mouse_148_WT_C	mouse_148_WT_NC	mouse_158_WT_C	mouse_158_WT_NC	mouse_183_KOMIR150_C	mouse_183_KOMIR150_NC	mouse_198_KOMIR150_C	mouse_198_KOMIR150_NC	mouse_206_KOMIR150_C	mouse_206_KOMIR150_NC	mouse_2670_KOTet3_C	mouse_2670_KOTet3_NC	mouse_7530_KOTet3_C	mouse_7530_KOTet3_NC	mouse_7531_KOTet3_C	mouse_7532_WT_NC	mouse_H510_WT_C	mouse_H510_WT_NC	mouse_H514_WT_C	mouse_H514_WT_NC
ENSMUSG00000025261.18	72.6324	81.7576	53.5449	78.2957	66.6841	107.752	71.9116	85.6048	59.1486	53.6386	72.8184	88.7281	67.2613	73.5735	71.9905	70.5496	87.5234	65.6323	72.485	83.4227	75.3641	76.1838
ENSMUSG00000041229.15	37.5408	31.6837	34.0179	29.296	31.2813	42.3857	31.061	28.6959	26.182	31.041	31.35	31.4016	33.4144	24.7244	41.8913	25.734	25.5269	27.6534	32.8553	23.9432	32.2112	28.1514
ENSMUSG00000025262.8	0.550722	1.6418	1.31875	1.53794	2.02014	1.56221	1.30549	0.552456	0.929418	0.479131	2.14808	2.95727	1.40085	1.7372	0.391432	1.7529	0.986004	1.65104	0.904736	1.07338	0.591901	1.63601
ENSMUSG00000025266.11	20.8184	11.2071	20.3997	20.8303	11.0818	11.7924	10.6622	15.5255	14.2143	14.485	16.2979	13.7453	12.0015	12.4324	12.1375	11.0828	11.1646	13.0493	10.2657	13.2015	12.4822	12.5913
ENSMUSG00000025268.15	0	2.13502	0	0	0	0	2.19443	0	1.50872	0	1.93198	0	2.83175	2.27562	1.83569	2.15187	3.11532	1.29065	0.314558	1.96716	0.805075	1.18155
ENSMUSG00000025269.16	10.6763	11.8157	4.2233	8.20534	4.87911	6.50316	5.58923	7.2651	7.03127	10.6477	4.46342	5.89654	5.9364	4.25305	4.25872	4.40393	4.21232	6.07134	4.61043	6.77732	3.5217	4.08841
ENSMUSG00000041353.12	3.02917	5.16047	2.20666	4.75923	2.53436	3.54863	3.66642	6.3714	3.33605	3.16864	4.18993	0	2.05138	3.13491	5.66608	3.56459	4.00617	3.76741	2.77271	3.70552	1.47247	6.09182
ENSMUSG00000031358.17	32.3332	25.9043	32.5963	31.0727	34.4367	24.1322	27.9626	21.569	33.7798	26.38	24.1703	25.1591	40.6127	29.9279	33.7192	22.1536	29.6696	24.7492	32.3462	25.0246	30.7516	24.4952
ENSMUSG00000094378.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094885.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
