SampleAC1	SampleAC2	SampleAC3	SampleAC4	SampleAD1	SampleAD2	SampleAD3	SampleAD4	SampleBC1	SampleBC2	SampleBC3	SampleBC4	SampleBD1	SampleBD2	SampleBD3	SampleBD4
ENSG00000283697.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197620.11	21.4716	14.637	24.8423	15.2577	14.9286	10.6375	21.1432	14.7881	5.04017	9.68827	9.88045	7.11877	17.8861	9.74063	13.6044	7.3769
ENSG00000241489.8	9.47866	2.55653	5.00409	7.29752	5.99768	3.85947	12.6389	2.78607	4.64633	1.7267	2.35888	2.05185	1.70603	6.39043	1.69605	1.61078
ENSG00000010404.18	75.6533	29.6197	73.4579	51.2831	124.208	54.0403	117.737	90.3963	68.8549	67.3427	103.338	71.9022	71.0987	71.8355	56.7878	53.2164
ENSG00000155966.14	0.318896	0	0.418553	0.215611	1.64189	0.712499	0.271756	0.190589	0.248983	0.456536	0.673038	0.229074	0.204619	0.170633	0.10031	0.294826
ENSG00000102081.15	22.7199	8.28119	14.2039	15.3975	22.1365	66.1589	29.7455	13.1856	11.0196	8.28883	15.8121	12.6069	11.9117	10.2374	10.296	5.25487
ENSG00000185985.10	0	0	0	0	0	0.213957	0	0.090706	0	0	0	0	0	0	0	0
ENSG00000203923.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000046774.10	0	0	0	0	0	0	0	0.380343	0	0	0	0	0	0	0	0
ENSG00000155495.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000203926.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198573.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000134595.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000101974.14	4.54251	2.48504	4.88778	4.53054	5.00012	2.37259	6.45191	2.10104	1.65431	2.77312	3.37584	2.68091	1.69647	2.01366	2.65647	0.84256
ENSG00000101977.21	0.53449	0.854239	0	0.279288	0.348404	0	0.565717	0.397792	0.440843	0.260211	0.744295	0	0	0.423112	0	0
ENSG00000129682.16	0.16562	0	0.038005	0.11304	0.187385	0.209471	0.158323	0.174678	0.116384	3.21779	0.120559	0.301146	1.69631	0.177211	0.503289	0.072075
ENSG00000156925.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000147274.14	137.603	85.2894	112.498	65.1469	105.728	89.3857	160.836	79.2836	34.5181	73.6159	36.3057	49.7775	41.0188	49.8217	69.2065	44.9993
ENSG00000129675.16	70.5946	28.5526	43.3549	35.1723	48.6337	40.5322	55.7713	38.3002	22.7877	34.6105	19.578	33.7334	23.3837	29.5845	30.7651	19.8204
ENSG00000102239.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156920.11	0	0	0	0	0	0.083054	0	0	0	0	0	0.089188	0	0	0	0
ENSG00000022267.19	10.0761	12.069	6.19585	11.916	4.52736	5.78192	10.4406	7.72411	4.9672	12.1771	9.41499	5.94254	7.49836	8.64168	3.33969	6.73226
ENSG00000198689.11	8.06644	4.94214	3.96681	3.46835	7.12376	6.23811	8.2755	5.91875	2.91032	4.96345	4.66754	4.96427	4.11039	3.98788	2.41726	3.15874
ENSG00000269586.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270946.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000273696.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228836.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268940.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000178947.9	0.38352	0.302251	0.293172	0.727185	0.118275	0.318149	0.488531	0.269764	0	0.123078	0	0	0.144786	0	0.141925	0.13908
ENSG00000173275.13	2.92175	1.38898	1.78785	1.90971	1.55294	1.25338	5.19174	2.13985	0.786171	1.97515	1.03295	1.82805	0.57031	1.43831	1.50471	0.913074
ENSG00000238210.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186376.15	9.95453	4.51472	5.31364	5.79362	6.65497	6.88979	8.45538	5.52872	3.7895	4.62085	1.44868	3.71289	2.15307	1.90821	4.09856	1.29263
ENSG00000224107.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000196972.9	0	0	0	0	0.227865	0	0	0	0	0	0	0	0	0	0	0
ENSG00000203950.6	16.8	5.88222	11.3786	5.66574	14.9614	6.20402	15.999	10.5244	5.82331	7.75193	3.00825	6.63528	7.04464	12.7061	8.9516	5.41502
ENSG00000212747.5	0.35302	0	0.404189	0	0.653095	0.439595	0.33677	0.372795	0.413198	0.339159	0.427414	0	0.399753	0	0	0
ENSG00000156500.15	35.4044	19.4631	30.6611	27.768	24.1347	28.0483	42.6131	28.3461	21.5831	21.6778	21.3223	22.3715	22.5538	23.362	18.1882	14.7995
ENSG00000203952.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000147257.15	0	0	0.536471	1.17265	0	0	0	0.329722	0	0	0	0	0	0	0	0
ENSG00000183434.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171004.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000076770.14	19.2301	41.2058	23.5654	26.277	11.9996	19.1564	18.0659	21.0883	57.6598	30.6621	71.2495	47.2888	57.2391	31.717	23.0443	61.485
ENSG00000134602.16	24.7241	11.8575	20.5737	15.8536	27.2602	16.9608	25.8126	22.7302	5.6852	14.4203	15.1485	13.2489	9.80298	14.7799	14.2014	7.80925
ENSG00000147255.19	0.123707	0	0.39973	0	0.114113	0	0.14975	0.262575	0.144478	0.374114	0.149551	0.164748	0	0	0	0.134185
ENSG00000165675.16	4.30582	4.08053	3.52691	5.6414	5.09337	4.00879	7.69098	1.70867	4.3455	3.28022	2.56135	1.29746	4.65566	2.01517	3.79655	1.95181
ENSG00000147262.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000056277.16	0.460224	0.856714	0.830898	1.33645	1.47507	1.0889	2.76916	1.22351	0.339442	1.08034	0.351443	1.18258	0.492467	0.931317	0.809362	0.630749
ENSG00000102034.17	57.6308	21.5153	42.0319	38.7726	66.786	39.3358	51.182	44.7438	41.3256	41.6423	46.1684	42.4775	37.8255	44.2272	40.4891	26.7728
ENSG00000122121.11	1.03518	0.244731	0.474542	0.235552	1.1492	0.257686	0.988457	0.437016	0.242397	0.398353	0.501795	0	0.234467	0.221816	0	0.45047
ENSG00000122126.17	2.08365	0.392233	3.72088	1.18524	2.59174	2.26866	3.27537	3.42438	0.762469	2.63286	0.646938	1.069	0.884944	2.09167	1.59031	0.580503
ENSG00000198354.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000009694.13	0.405214	0.059881	0.522976	0.345717	0.281189	0.252045	0.677803	0.747959	1.71814	0.487999	0.9831	0.270694	0.172107	0.162612	0.506342	0.220423
ENSG00000183918.17	42.8642	20.9868	21.0604	11.5449	17.0114	9.86946	36.0135	9.06864	6.87444	4.26607	5.37561	7.61694	7.18099	3.73984	4.57043	2.75947
ENSG00000101972.19	50.3504	23.7595	47.8496	25.8055	59.051	29.8026	64.5503	39.5975	34.7846	42.8652	39.106	31.7615	23.5113	26.2723	43.8959	24.4226
