mouse_110_WT_C	mouse_110_WT_NC	mouse_148_WT_C	mouse_148_WT_NC	mouse_158_WT_C	mouse_158_WT_NC	mouse_183_KOMIR150_C	mouse_183_KOMIR150_NC	mouse_198_KOMIR150_C	mouse_198_KOMIR150_NC	mouse_206_KOMIR150_C	mouse_206_KOMIR150_NC	mouse_2670_KOTet3_C	mouse_2670_KOTet3_NC	mouse_7530_KOTet3_C	mouse_7530_KOTet3_NC	mouse_7531_KOTet3_C	mouse_7532_WT_NC	mouse_H510_WT_C	mouse_H510_WT_NC	mouse_H514_WT_C	mouse_H514_WT_NC
ENSMUSG00000042271.13	12.9265	23.441	14.7224	21.7441	13.2268	18.5806	18.389	28.8114	11.4959	15.8584	15.5095	16.4042	10.9707	16.3831	13.2567	17.479	8.19035	14.58	9.46981	19.6587	11.8012	14.2024
ENSMUSG00000042282.4	0.299321	0	0	0	0	0	0	0.132254	0	0	0	0	0	0.081931	0	0	0	0	0	0	0	0
ENSMUSG00000054667.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111253	0	0	0	0	0
ENSMUSG00000031273.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031429.14	21.7835	27.3962	25.9677	36.4361	26.8314	35.2036	24.6906	26.3142	28.6245	22.2502	23.8034	23.1986	34.8158	33.9045	40.021	32.8897	25.1881	21.6077	30.019	28.0431	27.3759	27.2966
ENSMUSG00000031430.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000266.11	0.137906	0	0	0	0	0	0	0	0	0	0	0	0	0	0.290211	0	0	0	0	0	0	0
ENSMUSG00000031432.3	9.94639	17.8739	10.4884	10.8546	11.1854	10.9352	9.64375	12.4069	8.51008	12.3908	18.5985	16.3828	15.0978	15.853	22.2498	12.8108	14.0759	17.176	14.4276	18.4334	16.1328	14.074
ENSMUSG00000042433.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031433.15	12.848	11.1361	9.23669	8.6616	11.9656	15.204	15.5082	11.8291	10.0959	11.0087	8.86259	10.0892	7.62834	13.3223	11.3068	10.4245	10.7662	8.94354	7.08123	7.06404	9.3574	9.19311
ENSMUSG00000047230.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072945.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098559.1	0	0	0	0	0	0	0	1.61634	0	0	0	0	0	0	0	0	2.0883	0	0	1.02181	0	0
ENSMUSG00000031438.11	0.956346	1.61548	2.27221	1.52159	1.95183	1.46735	2.3171	2.43145	1.7579	2.7987	1.01504	1.59256	1.45121	2.26251	0.830146	1.82281	1.09644	1.63579	1.96431	1.27507	1.25229	1.42997
ENSMUSG00000042498.16	0	0	0.183073	0	0	0	0	0	0	0	0	0	0	0.182216	0	0.188817	0	0	0	0	0	0.207371
ENSMUSG00000051257.3	0.769833	0	0.638096	0	1.23468	0	0	0	0	0	1.28141	0	0	0	0	0	0	0.68832	0	0	0	0
ENSMUSG00000025265.14	0	0.226594	0.424896	0	0	0.740692	0	0	0.422623	0	0.427115	1.92655	0	0	0	0	0	0.229441	0	0.214538	0	0.721953
ENSMUSG00000042525.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031271.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000071686.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000059203.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.360549	0	0	0	0	0	0	0
ENSMUSG00000031428.11	0	0	0	0	0.334783	0.805573	0	0	0	0	0	0	0	0.309992	0	0	0	0	0	2.15172	0	0.784714
ENSMUSG00000043463.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031425.15	0	0.307938	0.288654	0.634323	0.79627	0.503006	0.165596	0.440811	0	0.276773	0.290215	0.436451	0.252085	1.90706	0.454867	0.622833	0	0.155901	0.292467	0.582746	0.340527	1.24446
