SampleAC1	SampleAC2	SampleAC3	SampleAC4	SampleAD1	SampleAD2	SampleAD3	SampleAD4	SampleBC1	SampleBC2	SampleBC3	SampleBC4	SampleBD1	SampleBD2	SampleBD3	SampleBD4
ENSG00000197620.11	15.0077	2.27842	11.1742	4.20446	9.65498	4.02568	14.3587	6.08397	1.10196	4.21683	1.77325	1.97864	3.03506	2.18491	3.86808	1.24976
ENSG00000241489.8	5.39244	0.407794	1.2588	1.93587	2.36086	2.19174	9.33626	1.07417	0.986488	0.623759	0.521201	0.48173	0.170826	1.48976	0.597319	0.279323
ENSG00000010404.18	37.7481	5.72616	35.5726	11.7546	73.599	20.197	86.2889	39.8102	13.7256	28.3767	23.0225	18.6509	13.5958	15.3665	17.3751	10.2035
ENSG00000155966.14	0.154852	0	0.177461	0.039603	1.11583	0.202134	0.167582	0.073972	0.046451	0.214835	0.154334	0.055191	0.035648	0.034435	0.029248	0.052106
ENSG00000102081.15	11.9881	1.66877	6.20309	3.40029	13.5514	26.1627	20.5647	7.95222	2.14854	2.97251	3.39617	3.51739	2.46612	2.38308	2.64472	0.873164
ENSG00000185985.10	0	0	0	0	0	0.075036	0	0.0704	0	0	0	0	0	0	0	0
ENSG00000203923.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000046774.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155495.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000203926.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198573.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000134595.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000101974.14	2.58173	0.49738	2.40655	1.05058	3.35465	0.792582	6.78962	1.22403	0.266345	1.1107	0.975601	1.11082	0.382517	0.43098	0.464236	0.148998
ENSG00000101977.21	0.260738	0.156004	0	0.061346	0.18231	0	1.38618	0.155886	0.083058	0.285067	0.112672	0	0	0.085739	0	0
ENSG00000129682.16	0.080364	0	0	0.008222	0.01609	0.043272	0.019515	0.013533	0	0.919163	0.036263	0.021218	0.2241	0.007149	0.298072	0.006358
ENSG00000156925.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000147274.14	71.5562	17.9118	47.5582	16.5537	61.7146	36.85	105.02	35.4203	6.284	31.0789	8.74094	12.8146	8.40993	10.9695	21.5888	9.08678
ENSG00000129675.16	38.28	5.70758	19.5043	8.59352	29.6553	15.7491	38.3726	18.1158	4.62506	13.7093	4.69962	8.64962	4.43261	6.45772	9.82192	4.03931
ENSG00000102239.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000156920.11	0	0	0	0	0	0	0	0	0	0	0	0.021405	0	0	0	0
ENSG00000022267.19	6.32149	2.86694	2.60157	2.6566	3.47256	1.79765	7.77907	3.51458	1.22193	4.34867	2.06525	1.86469	1.60105	2.09075	1.28154	1.1975
ENSG00000198689.11	4.6269	0.995623	1.79366	0.976435	3.55898	2.38	6.1218	2.77384	0.54436	1.70326	1.25317	1.37152	0.717428	1.02408	0.800646	0.615071
ENSG00000269586.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270946.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000273696.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228836.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268940.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000178947.9	0.248993	0.054765	0.183422	0.190971	0.122658	0.167608	0.302254	0.104833	0	0.044693	0	0	0.025256	0	0.082895	0.024607
ENSG00000173275.13	1.29911	0.216009	1.01084	0.502147	0.967702	0.440823	3.3245	0.833563	0.110386	0.662229	0.188753	0.387888	0.132825	0.327611	0.441054	0.161738
ENSG00000238210.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186376.15	5.3097	1.09449	2.32907	1.38729	3.32924	2.22676	5.57465	2.43854	0.702306	1.60969	0.382446	1.12732	0.351995	0.462975	0.770191	0.228642
ENSG00000224107.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000196972.9	0	0	0	0	0.356	0	0	0	0	0	0	0	0	0	0	0
ENSG00000203950.6	8.64047	1.0838	3.63505	1.25933	7.9002	2.21724	11.2254	5.71846	1.65813	2.87046	1.04119	1.2193	1.37482	3.01793	3.08069	0.972102
ENSG00000212747.5	0.17333	0	0.340401	0	0.170725	0.155616	0	0.145974	0.155586	0.124255	0.097606	0	0.070269	0	0	0
ENSG00000156500.15	17.434	4.48193	16.9533	5.04479	15.3781	7.19414	30.0523	11.193	4.24155	6.3277	5.32884	4.84999	3.72773	4.76063	5.13457	2.91364
ENSG00000203952.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000147257.15	0	0	0.22702	0	0	0	0	0.12893	0	0	0	0	0	0	0	0
ENSG00000183434.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171004.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000076770.14	11.5902	7.66714	7.54555	5.16914	6.2227	8.15644	12.3244	8.17008	11.7842	12.8818	18.3966	13.096	10.2826	7.30985	6.11357	12.0039
ENSG00000134602.16	13.8266	2.42673	10.067	3.74205	18.479	5.56033	19.9052	9.48288	1.3901	5.88641	3.05267	3.53684	1.92399	3.55768	4.39225	1.67022
ENSG00000147255.19	0	0	0.168151	0.045418	0.059162	0	0.086631	0.050659	0.027017	0.092884	0	0.039622	0	0	0	0
ENSG00000165675.16	2.98999	1.07087	1.9384	1.28366	4.77224	1.99656	4.943	0.731244	0.864386	1.25637	0.147992	0.312487	0.717986	0.408042	1.05523	0.311268
ENSG00000147262.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000056277.16	0.211864	0.124255	0.485542	0.288854	0.904499	0.190157	2.05738	0.297339	0.063504	0.659753	0.03981	0.369794	0.085954	0.219844	0.11938	0.16748
ENSG00000102034.17	31.4187	4.25815	18.9442	9.44922	39.351	15.3139	35.6935	21.2289	8.70642	17.0542	11.9375	10.3346	7.24771	10.03	13.3272	5.0122
ENSG00000122121.11	0.60663	0.044461	0.198593	0.051677	0.796821	0.090754	0.490841	0.170281	0.045434	0.145104	0.113954	0	0	0.044961	0	0.159773
ENSG00000122126.17	1.1415	0.066881	1.92476	0.324256	1.40817	0.796857	2.32738	1.24534	0.233704	1.1838	0.227988	0.214327	0.15438	0.451244	0.464481	0.102724
ENSG00000198354.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000009694.13	0.27053	0.032466	0.217423	0.075478	0.193861	0.088285	0.47775	0.393458	0.320519	0.265003	0.249669	0.097392	0.019962	0.043752	0.114637	0.029183
ENSG00000183918.17	26.4559	4.10031	9.77086	3.33579	12.0117	4.74552	29.049	4.07072	1.44263	1.67219	1.40103	2.25512	1.38681	1.15925	1.55251	0.552317
ENSG00000101972.19	25.9228	4.6894	24.7035	7.01109	35.4066	13.1249	43.0284	17.4393	6.56138	16.8732	9.46306	8.52685	4.16835	5.81524	13.2721	5.09252
ENSG00000125676.20	22.8166	2.78605	9.78182	4.04187	12.1046	5.26402	19.2146	8.02383	2.38616	6.64428	1.92974	5.00762	1.77828	3.40279	8.89618	1.75214
ENSG00000125675.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000182890.5	0	0	0	0	0	0	0	0	0	0	0.108612	0	0	0	0	0
ENSG00000228517.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224089.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171155.8	4.20953	1.17107	8.12004	1.81454	10.7199	6.3897	16.7064	5.79977	1.59383	6.80364	1.53267	1.79458	1.44039	1.48143	3.99235	1.48907
